instanceType,memoryPerInstance-GiB,vCpuPerInstance,gPuPerInstance,gPuType,gPuMemory-GiB,cPuType,cPuClockSpeed
r8g.12xlarge,384,48,0,,0,AWS Graviton4 Processor,2.7 GHz
m6id.12xlarge,192,48,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m5n.12xlarge,192,48,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
c7i.16xlarge,128,64,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
m8g.16xlarge,256,64,0,,0,AWS Graviton4 Processor,2.7 GHz
m6gd.16xlarge,256,64,0,,0,AWS Graviton2 Processor,2.5 GHz
m6gd.metal,256,64,0,,0,AWS Graviton2 Processor,2.5 GHz
c7gd.metal,128,64,0,,0,AWS Graviton3 Processor,2.5 GHz
c7gd.16xlarge,128,64,0,,0,AWS Graviton3 Processor,2.5 GHz
im4gn.8xlarge,128,32,0,,0,AWS Graviton2 Processor,2.5 GHz
r7iz.8xlarge,256,32,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.9 GHz
c7gn.12xlarge,96,48,0,,0,AWS Graviton3 Processor,2.6 GHz
g6e.4xlarge,128,16,1,,0,AMD EPYC 7R13 Processor,2.6 GHz
r6i.12xlarge,384,48,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r5.12xlarge,384,48,0,,0,Intel Xeon Platinum 8175,3.1 GHz
c5.18xlarge,144,72,0,,0,Intel Xeon Platinum 8124M,3.4 GHz
p3.2xlarge,61,8,1,NVIDIA Tesla V100,16,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz
m7i-flex.16xlarge,256,64,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.5 GHz
m6i.16xlarge,256,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m5.16xlarge,256,64,0,,0,Intel Xeon Platinum 8175,3.1 GHz
i7ie.6xlarge,192,24,0,,0,Intel Xeon Scalable (Emerald Rapids),4 GHz
